"Date","FieldNotes","FlowAdjustment"
"Date Assessed Friday, 2018-07-20","flow was 0.2 gpm.  Temperature was 27.7 deg C. Recorded by DRR.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Tuesday, 2017-06-27","Stream flow at 87.8 cfs.  Temperature was 29.9 deg C. Recorded by DTG.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Monday, 2021-11-22","flow was 102.6 cfs. Ambient Air Temperature was 28 deg C. Temperature was 25.3 deg C. Recorded by WQD.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Monday, 2017-09-25","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 31.3 deg C. Recorded by JQA.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Wednesday, 2018-01-17","Stream flow at 0.3 gpm. Ambient Air Temperature was 28 deg C. Temperature was 28.5 deg C. Recorded by XNS.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Thursday, 2016-09-15","flow was 100.9 cfs. Wadable conditions. Temperature was 30.1 deg C. Recorded by JKK.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Friday, 2017-07-14","Stream flow at 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 31.9 deg C. Recorded by XGM.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Monday, 2016-09-19","Streamflow is 93.3 cfs.  Temperature was 25.8 deg C. Recorded by XFD.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Tuesday, 2018-03-06","Stream flow at 123.1 cfs.  Temperature was 29.3 deg C. Recorded by VXO.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Saturday, 2020-08-01","Stream flow at 0.3 gpm. Ambient Air Temperature was 28 deg C. Temperature was 26.1 deg C. Recorded by NBJ.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Wednesday, 2018-12-12","flow was 164.9 MGD.  Temperature was 26.8 deg C. Recorded by CDP.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Wednesday, 2021-08-18","flow was 117 cfs.  Temperature was 29.7 deg C. Recorded by HQQ.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Friday, 2020-10-23","Stream flow at 0.2 gpm.  Temperature was 27.4 deg C. Recorded by PGM.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Saturday, 2018-08-18","Streamflow is 0.3 gpm.  Temperature was 27.6 deg C. Recorded by TFQ.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Sunday, 2021-12-19","flow was 191.7 MGD.  Temperature was 27.8 deg C. Recorded by CSN.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Tuesday, 2017-09-05","flow was 0.2 gpm. Wadable conditions. Temperature was 29 deg C. Recorded by DTN.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Thursday, 2021-02-25","flow was 100.8 cfs.  Temperature was 28.9 deg C. Recorded by AMS.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Friday, 2017-11-24","flow was 0.2 gpm.  Temperature was 25.2 deg C. Recorded by NLH.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Saturday, 2020-08-22","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 27.7 deg C. Recorded by YJC.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Wednesday, 2019-05-15","Stream flow at 99.4 cfs. Wadable conditions. Temperature was 27.5 deg C. Recorded by EYH.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Monday, 2020-10-26","Stream flow at 123.4 MGD. Ambient Air Temperature was 28 deg C. Temperature was 29.2 deg C. Recorded by JMY.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Wednesday, 2021-08-25","Stream flow at 0.2 gpm.  Temperature was 26.2 deg C. Recorded by GXO.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Wednesday, 2019-11-20","Streamflow is 142.3 MGD. Wadable conditions. Temperature was 28.4 deg C. Recorded by GOR.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Saturday, 2019-07-20","Stream flow at 0.3 gpm. Ambient Air Temperature was 28 deg C. Temperature was 24.2 deg C. Recorded by NCI.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Tuesday, 2018-05-01","Stream flow at 0.2 gpm.  Temperature was 26.7 deg C. Recorded by NCS.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Wednesday, 2017-03-01","Stream flow at 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 30.9 deg C. Recorded by CYP.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Tuesday, 2018-03-06","flow was 144.5 MGD. Ambient Air Temperature was 28 deg C. Temperature was 32.2 deg C. Recorded by IAR.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Monday, 2022-03-14","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 30.9 deg C. Recorded by UPS.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Wednesday, 2016-09-07","flow was 0.3 gpm. Wadable conditions. Temperature was 29 deg C. Recorded by EFP.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Tuesday, 2017-09-12","Streamflow is 0.2 gpm.  Temperature was 28.2 deg C. Recorded by XNF.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Saturday, 2018-04-07","Streamflow is 0.2 gpm.  Temperature was 24.2 deg C. Recorded by XWE.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Tuesday, 2020-08-04","Stream flow at 157.4 MGD.  Temperature was 26.9 deg C. Recorded by AKA.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Sunday, 2017-12-24","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 28.1 deg C. Recorded by UNV.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Tuesday, 2018-11-20","Streamflow is 158.3 MGD. Wadable conditions. Temperature was 30.8 deg C. Recorded by RQK.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Monday, 2019-12-16","Streamflow is 86.5 cfs. Ambient Air Temperature was 28 deg C. Temperature was 33.1 deg C. Recorded by RGT.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Tuesday, 2018-08-07","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 26.5 deg C. Recorded by RWR.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Friday, 2018-11-16","flow was 102.5 cfs. Ambient Air Temperature was 28 deg C. Temperature was 25.1 deg C. Recorded by LWO.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Wednesday, 2017-10-11","Stream flow at 138.4 MGD. Ambient Air Temperature was 28 deg C. Temperature was 25.4 deg C. Recorded by YNH.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Friday, 2020-05-29","Stream flow at 188 MGD. Wadable conditions. Temperature was 30.2 deg C. Recorded by GCC.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Thursday, 2016-09-08","Stream flow at 155.7 MGD. Ambient Air Temperature was 28 deg C. Temperature was 28.4 deg C. Recorded by XMX.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Saturday, 2018-11-03","Streamflow is 136.5 MGD.  Temperature was 24.1 deg C. Recorded by CMG.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Saturday, 2019-02-16","flow was 0.2 gpm. Wadable conditions. Temperature was 20.5 deg C. Recorded by SYC.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Sunday, 2020-01-19","Streamflow is 0.3 gpm.  Temperature was 28.6 deg C. Recorded by RMO.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Friday, 2019-10-04","Streamflow is 149 MGD.  Temperature was 25.7 deg C. Recorded by QPV.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Monday, 2018-06-11","flow was 92.9 cfs. Ambient Air Temperature was 28 deg C. Temperature was 28.8 deg C. Recorded by MIY.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Thursday, 2018-09-20","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 25.6 deg C. Recorded by COO.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Monday, 2019-12-30","Stream flow at 111.1 cfs. Wadable conditions. Temperature was 27 deg C. Recorded by YSO.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Saturday, 2016-08-27","flow was 163.3 MGD. Ambient Air Temperature was 28 deg C. Temperature was 29.4 deg C. Recorded by LGH.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Wednesday, 2021-10-13","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 27.3 deg C. Recorded by JOH.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Tuesday, 2021-05-18","flow was 0.2 gpm.  Temperature was 26.6 deg C. Recorded by HXP.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Sunday, 2016-12-11","Streamflow is 163.4 MGD. Ambient Air Temperature was 28 deg C. Temperature was 27.7 deg C. Recorded by YHQ.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Tuesday, 2018-06-12","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 28.5 deg C. Recorded by AYU.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Friday, 2019-08-30","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 26.5 deg C. Recorded by XOJ.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Tuesday, 2017-04-11","Stream flow at 103.1 cfs. Wadable conditions. Temperature was 34.4 deg C. Recorded by PBU.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Monday, 2019-01-14","flow was 0.2 gpm.  Temperature was 31.4 deg C. Recorded by IIH.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Friday, 2019-09-20","Stream flow at 116.9 cfs. Ambient Air Temperature was 28 deg C. Temperature was 21.9 deg C. Recorded by VPG.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Friday, 2017-01-06","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 29.6 deg C. Recorded by GIK.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Thursday, 2022-01-20","flow was 173.9 MGD.  Temperature was 27 deg C. Recorded by QMK.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Wednesday, 2018-11-28","flow was 82.1 cfs. Ambient Air Temperature was 28 deg C. Temperature was 31.8 deg C. Recorded by MAT.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Friday, 2020-03-06","Streamflow is 123.4 cfs. Ambient Air Temperature was 28 deg C. Temperature was 29.9 deg C. Recorded by WWW.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Thursday, 2018-03-01","Streamflow is 96.7 cfs.  Temperature was 29.6 deg C. Recorded by DCL.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Sunday, 2018-04-22","Streamflow is 137.9 MGD. Ambient Air Temperature was 28 deg C. Temperature was 26.6 deg C. Recorded by DHW.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Saturday, 2018-12-22","flow was 0.2 gpm.  Temperature was 29 deg C. Recorded by VCS.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Thursday, 2017-08-24","Stream flow at 165.9 MGD. Wadable conditions. Temperature was 30.5 deg C. Recorded by WWW.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Friday, 2017-05-12","flow was 167.2 MGD. Wadable conditions. Temperature was 28.7 deg C. Recorded by BKU.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Thursday, 2018-01-11","Streamflow is 175.6 MGD.  Temperature was 28.7 deg C. Recorded by GHC.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Tuesday, 2020-11-10","flow was 109.2 cfs. Wadable conditions. Temperature was 27.4 deg C. Recorded by VYJ.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Thursday, 2019-08-08","Stream flow at 141.9 MGD. Wadable conditions. Temperature was 28.8 deg C. Recorded by RON.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Monday, 2021-03-08","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 24.8 deg C. Recorded by DXN.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Monday, 2019-05-27","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 25.3 deg C. Recorded by VPT.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Tuesday, 2019-12-31","Streamflow is 104.3 cfs.  Temperature was 30.7 deg C. Recorded by HHY.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Thursday, 2016-03-24","Stream flow at 158.3 MGD. Ambient Air Temperature was 28 deg C. Temperature was 29.2 deg C. Recorded by BEH.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Friday, 2021-06-11","Stream flow at 84.3 cfs. Ambient Air Temperature was 28 deg C. Temperature was 36.3 deg C. Recorded by KHX.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Wednesday, 2017-08-23","Streamflow is 107.5 cfs. Ambient Air Temperature was 28 deg C. Temperature was 27.2 deg C. Recorded by SWI.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Saturday, 2020-08-08","flow was 94.8 cfs.  Temperature was 28.1 deg C. Recorded by WAA.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Friday, 2018-11-09","Stream flow at 108.4 cfs. Wadable conditions. Temperature was 26.9 deg C. Recorded by JNM.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Friday, 2021-09-17","flow was 153.5 MGD. Ambient Air Temperature was 28 deg C. Temperature was 24.7 deg C. Recorded by BGS.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Thursday, 2019-04-25","Streamflow is 100.1 cfs.  Temperature was 28.3 deg C. Recorded by TMK.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Monday, 2016-04-11","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 28.3 deg C. Recorded by WDU.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Thursday, 2020-04-02","Stream flow at 0.3 gpm. Ambient Air Temperature was 28 deg C. Temperature was 23.8 deg C. Recorded by ALD.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Wednesday, 2020-09-02","Streamflow is 161.7 MGD.  Temperature was 22.2 deg C. Recorded by FSO.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Sunday, 2017-06-18","Streamflow is 0.3 gpm. Ambient Air Temperature was 28 deg C. Temperature was 27.5 deg C. Recorded by POO.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Wednesday, 2017-03-15","Streamflow is 110 cfs. Ambient Air Temperature was 28 deg C. Temperature was 28.5 deg C. Recorded by WTA.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Monday, 2018-10-22","Streamflow is 98.6 cfs. Wadable conditions. Temperature was 24.7 deg C. Recorded by NOF.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Wednesday, 2018-09-19","Streamflow is 134.7 cfs. Ambient Air Temperature was 28 deg C. Temperature was 26.8 deg C. Recorded by YWB.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Sunday, 2017-09-24","flow was 83.2 cfs. Wadable conditions. Temperature was 28.2 deg C. Recorded by KLH.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Tuesday, 2019-10-08","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 29.9 deg C. Recorded by PLE.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Monday, 2017-09-04","flow was 99.3 cfs. Wadable conditions. Temperature was 26.3 deg C. Recorded by BCU.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Friday, 2020-05-29","Stream flow at 105.3 cfs. Ambient Air Temperature was 28 deg C. Temperature was 27.3 deg C. Recorded by RQQ.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Wednesday, 2019-11-20","Stream flow at 145.5 MGD. Ambient Air Temperature was 28 deg C. Temperature was 30 deg C. Recorded by YJJ.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Monday, 2017-05-29","Stream flow at 143.9 MGD. Ambient Air Temperature was 28 deg C. Temperature was 26.8 deg C. Recorded by NXP.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Tuesday, 2019-09-24","Streamflow is 146.4 MGD. Wadable conditions. Temperature was 25.3 deg C. Recorded by YXM.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Monday, 2020-04-27","Stream flow at 97.3 cfs. Wadable conditions. Temperature was 30.2 deg C. Recorded by NAC.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Monday, 2016-10-31","Stream flow at 156.1 MGD.  Temperature was 31.9 deg C. Recorded by OXP.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Wednesday, 2019-06-26","Streamflow is 0.2 gpm.  Temperature was 32 deg C. Recorded by YIU.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Wednesday, 2017-06-07","Stream flow at 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 28.9 deg C. Recorded by MFP.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Saturday, 2021-12-25","Streamflow is 149.3 MGD. Ambient Air Temperature was 28 deg C. Temperature was 31.9 deg C. Recorded by XTM.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Sunday, 2021-08-01","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 27.8 deg C. Recorded by MRQ.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Friday, 2020-12-11","flow was 172.3 MGD.  Temperature was 34.5 deg C. Recorded by AEB.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Sunday, 2020-01-19","Streamflow is 0.2 gpm.  Temperature was 27.5 deg C. Recorded by YJV.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Sunday, 2019-06-09","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 30.7 deg C. Recorded by OLP.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Wednesday, 2021-12-08","Streamflow is 182.4 MGD.  Temperature was 30.4 deg C. Recorded by QIN.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Thursday, 2018-02-08","Streamflow is 182.6 MGD. Ambient Air Temperature was 28 deg C. Temperature was 29.6 deg C. Recorded by LAX.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Tuesday, 2020-02-04","Streamflow is 106.1 cfs. Ambient Air Temperature was 28 deg C. Temperature was 26.4 deg C. Recorded by SMF.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Tuesday, 2020-09-08","flow was 87.4 cfs.  Temperature was 32.8 deg C. Recorded by YUY.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Tuesday, 2019-12-24","flow was 0.2 gpm.  Temperature was 26.4 deg C. Recorded by MKE.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Tuesday, 2019-03-26","Stream flow at 148.1 MGD. Ambient Air Temperature was 28 deg C. Temperature was 22.2 deg C. Recorded by ABT.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Thursday, 2021-09-16","Stream flow at 0.3 gpm. Wadable conditions. Temperature was 29.6 deg C. Recorded by EGH.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Thursday, 2017-08-24","flow was 0.2 gpm. Wadable conditions. Temperature was 33.1 deg C. Recorded by NEB.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Sunday, 2020-11-29","flow was 101.1 cfs. Wadable conditions. Temperature was 26.3 deg C. Recorded by YEG.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Friday, 2020-11-20","flow was 198 MGD. Ambient Air Temperature was 28 deg C. Temperature was 31.7 deg C. Recorded by FWG.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Monday, 2016-04-11","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 26.4 deg C. Recorded by LKV.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Saturday, 2016-10-08","Streamflow is 125.5 MGD.  Temperature was 22.3 deg C. Recorded by UWJ.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Monday, 2020-08-03","Streamflow is 0.2 gpm.  Temperature was 30.1 deg C. Recorded by YNR.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Thursday, 2021-03-11","Streamflow is 86.5 cfs. Ambient Air Temperature was 28 deg C. Temperature was 26.2 deg C. Recorded by JYN.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Friday, 2020-10-30","Streamflow is 0.3 gpm. Ambient Air Temperature was 28 deg C. Temperature was 32.1 deg C. Recorded by XJX.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Sunday, 2019-12-29","flow was 166.7 MGD. Ambient Air Temperature was 28 deg C. Temperature was 30.1 deg C. Recorded by CVY.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Wednesday, 2018-01-10","Stream flow at 111.4 cfs.  Temperature was 30.5 deg C. Recorded by ICO.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Thursday, 2021-04-15","flow was 0.3 gpm. Wadable conditions. Temperature was 28.4 deg C. Recorded by KHM.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Wednesday, 2019-03-27","Streamflow is 92.9 cfs. Wadable conditions. Temperature was 31.6 deg C. Recorded by OIN.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Thursday, 2022-03-17","Streamflow is 184.4 MGD.  Temperature was 27.2 deg C. Recorded by QLX.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Monday, 2016-08-08","Stream flow at 102.4 cfs. Ambient Air Temperature was 28 deg C. Temperature was 29.8 deg C. Recorded by SNO.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Monday, 2018-07-16","flow was 100.9 cfs.  Temperature was 23.3 deg C. Recorded by JSU.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Thursday, 2021-10-21","Stream flow at 150.8 MGD.  Temperature was 24.1 deg C. Recorded by TJL.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Thursday, 2019-12-12","flow was 118.3 cfs. Wadable conditions. Temperature was 29.9 deg C. Recorded by SKL.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Saturday, 2016-12-10","flow was 0.2 gpm. Wadable conditions. Temperature was 22.3 deg C. Recorded by XTK.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Monday, 2019-02-18","flow was 0.2 gpm.  Temperature was 23.9 deg C. Recorded by ADD.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Wednesday, 2016-06-01","Stream flow at 154.9 MGD. Ambient Air Temperature was 28 deg C. Temperature was 29.2 deg C. Recorded by VRL.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Wednesday, 2020-07-29","Streamflow is 171.6 MGD. Wadable conditions. Temperature was 29.9 deg C. Recorded by XTR.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Sunday, 2016-07-17","flow was 93.8 cfs. Ambient Air Temperature was 28 deg C. Temperature was 25.5 deg C. Recorded by YAL.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Sunday, 2018-07-22","flow was 76 cfs.  Temperature was 26.2 deg C. Recorded by TNB.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Saturday, 2020-11-14","Stream flow at 107.1 cfs. Wadable conditions. Temperature was 28.9 deg C. Recorded by BLX.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Thursday, 2017-03-02","flow was 108.7 cfs. Wadable conditions. Temperature was 27.3 deg C. Recorded by BVI.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Wednesday, 2017-09-27","Streamflow is 103.6 cfs.  Temperature was 30.3 deg C. Recorded by WIL.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Saturday, 2018-05-05","Stream flow at 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 24.2 deg C. Recorded by BBN.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Saturday, 2020-05-23","Streamflow is 104.9 cfs. Ambient Air Temperature was 28 deg C. Temperature was 35.7 deg C. Recorded by KXX.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Saturday, 2020-07-11","Streamflow is 170.2 MGD. Ambient Air Temperature was 28 deg C. Temperature was 26.7 deg C. Recorded by XNE.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Monday, 2018-02-05","Streamflow is 135 MGD.  Temperature was 30.2 deg C. Recorded by QMK.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Monday, 2020-02-03","flow was 117.2 MGD. Ambient Air Temperature was 28 deg C. Temperature was 26.8 deg C. Recorded by MUE.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Monday, 2021-01-04","Stream flow at 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 29.3 deg C. Recorded by FVA.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Thursday, 2021-10-14","Streamflow is 171.2 MGD. Ambient Air Temperature was 28 deg C. Temperature was 23.5 deg C. Recorded by CUM.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Tuesday, 2019-05-14","Stream flow at 153.5 MGD. Ambient Air Temperature was 28 deg C. Temperature was 31.3 deg C. Recorded by SOA.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Saturday, 2016-10-01","flow was 97.4 cfs. Ambient Air Temperature was 28 deg C. Temperature was 31.5 deg C. Recorded by MFT.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Friday, 2022-02-18","flow was 0.2 gpm. Wadable conditions. Temperature was 35 deg C. Recorded by JHO.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Wednesday, 2016-03-23","Streamflow is 107.5 cfs.  Temperature was 27.3 deg C. Recorded by KRM.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Thursday, 2021-01-07","flow was 134.5 MGD. Wadable conditions. Temperature was 21.6 deg C. Recorded by OGH.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Thursday, 2018-08-02","flow was 0.3 gpm. Wadable conditions. Temperature was 33 deg C. Recorded by XQO.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Wednesday, 2020-01-08","Streamflow is 150.6 MGD. Wadable conditions. Temperature was 34.1 deg C. Recorded by USP.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Thursday, 2016-06-02","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 33.2 deg C. Recorded by PQG.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Thursday, 2019-08-08","flow was 0.2 gpm. Wadable conditions. Temperature was 31.6 deg C. Recorded by DGL.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Friday, 2016-11-25","flow was 160.5 MGD. Ambient Air Temperature was 28 deg C. Temperature was 30.7 deg C. Recorded by KOQ.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Wednesday, 2017-06-28","Stream flow at 0.2 gpm.  Temperature was 26 deg C. Recorded by IAH.","Flow was scaled by constant factor of 1 to account for science"
